Accession	AccessionNoIsoform	Gene	Description	NeuroMarker	LysosomalMarkers	HD1_IN	HD4_IN	HD5_IN	HD6_IN	HDKP_IN	HDRH_IN	HDSD_IN	HD1_FB	HD4_FB	HD5_FB	HD6_FB	HDKP_FB	HDRH_FB	HDSD_FB	C11_IN	C12_IN	CBS_IN	CGE_IN	CKK_IN	CKP_IN	TS_IN	C11_FB	C12_FB	CBS_FB	CGE_FB	CKK_FB	CKP_FB	TS_FB 
P63096	P63096	GNAI1	Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2			20.0286808	19.46256065	18.84070206	19.30127335	19.43084526	18.69071007	19.30428123	19.8341713	18.73396873	18.69458008	19.21116257	19.2651329	19.74507332	20.01438141	19.88750076	20.79124451	20.05579567	20.81214523	19.52188492	20.20568085	18.55573845	19.24524879	19.75523376	18.9839325	20.33433151	19.59150696	20.42250633	19.54766083
Q15014	Q15014	MORF4L2	Mortality factor 4-like protein 2 OS=Homo sapiens OX=9606 GN=MORF4L2 PE=1 SV=1			18.73365784	18.66325569	19.55803871	19.3442421	19.39348602	19.55654716	19.54440117	19.63776779	19.35264587	19.35567474	19.1883049	19.63112259	19.49242401	18.70981979	19.09713173	18.33420372	19.02486229	18.30999947	19.21440125	19.1869812	19.61575508	19.39444923	19.0230484	19.18130493	19.23126411	18.14207077	19.84572792	19.0203476
Q9NP81	Q9NP81	SARS2	"Serine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=SARS2 PE=1 SV=1"			19.49252892	19.46031189	19.52367783	19.62685966	19.44247627	19.6302948	19.38709641	18.99812126	18.89184189	18.83362389	19.12338257	18.65795517	19.0123558	19.19462585	19.59099197	18.68161774	19.35910034	19.0649128	19.52961349	19.39844322	19.33900452	19.4114418	18.81079483	18.40338516	18.74209976	19.25468636	18.78714943	18.55910492
Q6UXV4	Q6UXV4	APOOL	MICOS complex subunit MIC27 OS=Homo sapiens OX=9606 GN=APOOL PE=1 SV=1			19.72895241	20.18783569	18.92731094	18.95815277	19.25842285	19.09994888	19.54732895	19.50383568	19.37781715	19.41831779	18.10497856	19.39621735	18.88212395	19.79232788	19.54303932	20.39040756	20.16322136	20.67604637	19.60989571	19.9828701	18.67935371	19.51753235	19.38935089	19.61645508	19.65454292	19.44193077	19.36824799	19.37133408
Q6QNY1	Q6QNY1	BLOC1S2	Biogenesis of lysosome-related organelles complex 1 subunit 2 OS=Homo sapiens OX=9606 GN=BLOC1S2 PE=1 SV=1			19.3298912	19.31205177	19.89312363	19.21594238	19.50420952	19.73809433	19.35668755	18.67500305	18.63356781	18.25696564	18.4009285	18.49649239	18.5714283	18.50735855	20.62238503	19.29020309	19.30657387	19.45674896	20.35895157	19.20566559	20.76454353	18.48977089	19.07619095	18.04684448	17.98442841	18.59149933	18.45173645	18.41734123
Q9Y291	Q9Y291	MRPS33	"28S ribosomal protein S33, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS33 PE=1 SV=1"			19.62968445	19.58293152	18.3520031	19.75769043	19.42121124	18.79271317	19.42351151	19.11904716	19.10871124	19.12082291	19.17779732	19.2379303	19.04292488	19.25671959	19.37969208	19.31561661	18.89459419	17.91364098	18.23448753	18.50219917	18.29452896	18.99995995	18.87380219	18.02762222	18.95142746	18.83802795	18.8711853	17.87805557
P18859-2	P18859	ATP5J	"Isoform 2 of ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5J"			20.1164856	19.23686218	19.33854294	19.15758133	19.22691536	19.14189529	19.26528931	18.0876503	18.65881729	17.86337662	18.32614326	18.41272163	18.46407318	18.22623825	19.28969193	19.98786545	19.96941566	19.26000977	19.81847	19.31193542	19.33650017	19.29675674	18.66509056	17.92586517	18.53559875	18.46712875	18.56926727	18.26966286
Q9H9Q2	Q9H9Q2	COPS7B	COP9 signalosome complex subunit 7b OS=Homo sapiens OX=9606 GN=COPS7B PE=1 SV=1			18.86496353	18.93850327	19.94659424	19.36135864	19.41884804	19.54084015	19.0550518	19.88656235	19.8002243	19.71534157	19.7908287	19.98832893	19.72359848	19.96440887	19.39676476	18.5056572	19.22842598	19.15379143	19.34619522	19.74792862	20.30413246	19.68996811	19.63700485	19.57231903	19.88647079	19.61914825	19.83190155	19.79899216
O60711	O60711	LPXN	Leupaxin OS=Homo sapiens OX=9606 GN=LPXN PE=1 SV=1			19.27881622	18.92897415	19.09767151	19.28878784	19.4075222	19.08454895	19.3821125	22.27799797	21.61032486	22.42560196	22.83612061	22.34354019	22.08765411	22.62197685	19.0972271	19.93717766	19.28802872	20.35883904	19.51709747	19.35937309	19.34791565	22.64506721	22.52542496	22.67912292	21.89722443	22.58813858	21.77756882	23.14541245
Q96MH6	Q96MH6	TMEM68	Transmembrane protein 68 OS=Homo sapiens OX=9606 GN=TMEM68 PE=2 SV=2			19.40195847	19.15358543	19.51576233	19.53801918	19.51939011	19.17341614	19.01257515	17.39305496	16.51634598	15.52668762	16.58419418	15.36387062	16.26256371	18.76948738	19.47322083	19.08129692	19.21538162	18.89922333	19.08786011	19.546875	19.62250137	16.89580345	18.43328857	17.02943039	17.24112129	19.01862335	17.0978508	17.33989716
O00408	O00408	PDE2A	"cGMP-dependent 3',5'-cyclic phosphodiesterase OS=Homo sapiens OX=9606 GN=PDE2A PE=1 SV=1"			19.7371254	18.86348152	19.88656616	19.08780289	19.34161758	20.07969856	18.21831131	14.34861946	NaN	15.59209633	15.62162399	14.79549503	15.1505661	15.3281641	19.00519753	NaN	18.13341141	16.15136528	18.95189476	19.3973484	20.19865608	14.29905891	NaN	13.23805809	14.40930939	14.28632927	13.95519924	NaN
P32189	P32189	GK	Glycerol kinase OS=Homo sapiens OX=9606 GN=GK PE=1 SV=3			20.25196648	19.96897507	19.01522827	20.4678669	19.47704887	19.96702194	20.0111084	18.11653709	18.41012383	19.4141922	20.32755661	17.91526794	17.57744789	18.31859779	20.71575546	20.41565514	20.49453163	20.45789337	20.24629402	19.36689377	19.5951786	19.27158737	16.92637253	18.73561859	16.81109619	18.52138901	15.69451046	20.42974091
Q9NRN5	Q9NRN5	OLFML3	Olfactomedin-like protein 3 OS=Homo sapiens OX=9606 GN=OLFML3 PE=2 SV=1			18.86094284	18.90201378	19.20352936	18.78064156	19.21982193	19.18173218	19.02611351	19.81792641	18.96251869	18.95309067	19.18491745	19.42405701	19.75338173	18.21822357	19.02986336	18.2407093	18.80176353	18.78650093	18.24320221	18.87992096	19.12456131	19.56487083	18.4443779	19.22736359	18.82048988	18.47655106	21.02446365	17.82900238
Q9H1Y0	Q9H1Y0	ATG5	Autophagy protein 5 OS=Homo sapiens OX=9606 GN=ATG5 PE=1 SV=2			19.3480835	19.00792694	18.98553085	19.23133469	19.43976593	19.48932266	19.64796829	19.51326942	19.71752548	19.51968575	19.24975395	19.32396317	19.33837318	19.74127769	19.29359055	19.19742203	19.41880035	19.74867249	19.55961609	19.73002434	19.58564949	19.37705994	19.75960732	19.816679	19.52745056	19.53240013	19.72031784	19.67313766
Q8TBR7	Q8TBR7	FAM57A	Protein FAM57A OS=Homo sapiens OX=9606 GN=FAM57A PE=1 SV=2			19.48772049	19.21209335	19.35562515	19.34181213	19.36014748	19.50031853	19.18454361	19.94213486	19.80600548	19.87347984	19.88233757	19.89319992	19.85617256	19.80035591	19.46650696	19.33295822	19.3176384	19.40395927	19.44462776	19.26077652	19.48219299	20.08848763	19.8161068	19.99401093	19.80150223	19.98874855	19.80736923	20.14255524
Q96II8	Q96II8	LRCH3	Leucine-rich repeat and calponin homology domain-containing protein 3 OS=Homo sapiens OX=9606 GN=LRCH3 PE=1 SV=2			19.04153442	19.10219955	19.16657639	19.30165291	19.40978241	19.1524353	19.08868408	20.22538757	20.17345047	20.05076218	20.55053329	19.8429451	20.33716202	20.10549545	18.99195099	19.39085007	19.14661789	19.98760033	19.38272095	19.33311844	19.02426147	20.23004532	20.1504879	20.41636658	20.38014793	20.08830261	20.37895393	20.41429901
Q9Y5P4-3	Q9Y5P4	COL4A3BP	Isoform 3 of Collagen type IV alpha-3-binding protein OS=Homo sapiens OX=9606 GN=COL4A3BP			18.88458633	19.28354454	18.8123951	19.58796501	19.48620033	19.32049942	19.38347435	20.6358757	19.94058418	19.62989616	19.59739685	19.87648773	20.22208595	20.57924271	19.40629578	18.9175415	19.05101967	19.14400291	19.14498901	18.99866867	19.30300522	20.09176826	20.10163307	20.39215469	20.21553421	20.35445786	20.03710556	20.04854202
P35442	P35442	THBS2	Thrombospondin-2 OS=Homo sapiens OX=9606 GN=THBS2 PE=1 SV=2			19.43419075	19.21293449	19.35453987	19.61110687	19.49196243	19.94610214	19.55321884	17.552145	16.63682365	16.59452057	15.82013512	16.93222809	18.82302094	19.92156601	18.90589142	19.09583092	18.58482933	18.77099419	18.88722801	19.15747452	19.79728699	18.0507164	19.12594604	16.01295471	20.58587265	19.22143745	18.5998764	17.65851212
Q7L2J0	Q7L2J0	MEPCE	7SK snRNA methylphosphate capping enzyme OS=Homo sapiens OX=9606 GN=MEPCE PE=1 SV=1			19.24154663	19.45023346	19.5132103	19.28009224	19.40705681	19.56637001	19.39489937	19.1880703	19.07747269	19.2825222	19.30640411	19.0381813	18.91296005	19.00168037	19.20879173	18.8972187	19.34971428	18.89091492	19.28993034	19.40147018	19.20311165	19.18589973	18.63278389	19.21419525	18.94460678	19.03995895	18.96445847	19.10361671
Q5D862	Q5D862	FLG2	Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1			20.52710915	19.10915947	20.76044846	19.7865963	19.40687943	19.75766945	20.11496353	20.3889637	22.19746017	20.31053162	19.53165817	20.20742989	20.16440964	19.93386459	18.88809395	21.46393585	20.26286888	20.27731514	19.2623558	19.65002823	20.76749229	22.08164978	21.39833069	21.22869492	19.85914803	21.09970665	20.14331055	21.08438492
O75503	O75503	CLN5	Ceroid-lipofuscinosis neuronal protein 5 OS=Homo sapiens OX=9606 GN=CLN5 PE=1 SV=2		+	18.77816582	19.00767517	19.34336472	19.22019005	19.43442726	19.01754761	19.13770485	17.45078278	17.17603874	17.62551498	17.17058182	17.49935913	17.36984825	17.48032761	19.56175232	19.00219536	19.12625504	19.37862396	19.10253525	18.91529846	19.33034134	17.96388817	17.58300781	17.32704544	17.55586624	17.60868835	17.75733185	17.21782303
A6NIH7	A6NIH7	UNC119B	Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1			19.16939354	19.07926941	19.30109406	19.4701004	19.38893318	19.39001846	19.1400032	18.99880219	18.81940842	19.02462387	18.83345032	18.51310539	19.12630272	19.3333931	19.38977623	19.01033401	19.30150795	19.18719864	19.54898071	19.37749863	18.29875946	18.84998894	18.58615875	18.871315	19.14548302	19.07447433	18.88704109	19.11368942
O75410-2	O75410	TACC1	Isoform 2 of Transforming acidic coiled-coil-containing protein 1 OS=Homo sapiens OX=9606 GN=TACC1			20.11499596	19.25936127	18.89834976	19.51187325	19.37060356	19.46756363	19.38227081	19.97209358	20.43246269	19.80001831	19.66224289	19.97771835	19.94629669	19.18320847	19.46517181	19.92632294	19.58285904	19.41760445	19.52640533	19.10248184	19.09939194	19.63862228	19.87539864	19.88466454	18.49188614	19.51202583	18.49228668	19.69249725
Q6P6C2	Q6P6C2	ALKBH5	RNA demethylase ALKBH5 OS=Homo sapiens OX=9606 GN=ALKBH5 PE=1 SV=2			19.32806969	19.23275375	19.30608368	19.48468018	19.40443039	19.73186874	18.721735	19.23874855	18.85635948	19.24200439	19.58036995	18.95831299	18.71449471	18.81372833	19.53296661	18.76464081	19.22956657	18.89664268	19.44553375	19.34184837	19.71390343	19.08591843	19.09868813	19.38711929	19.02716827	18.48884583	19.36589813	19.40780258
Q86X27	Q86X27	RALGPS2	Ras-specific guanine nucleotide-releasing factor RalGPS2 OS=Homo sapiens OX=9606 GN=RALGPS2 PE=1 SV=1			19.07050705	19.45232201	19.39795303	18.95734596	19.4615078	19.93382263	19.27086639	20.36487961	19.67485046	20.28685379	19.91591072	20.2406044	19.88149071	19.88790894	19.50965691	19.65068245	19.49127007	19.37552834	19.43989372	19.27604103	19.70300293	20.40485764	19.40483856	20.6699028	20.03516579	19.87066269	19.6730957	20.47395897
P15104	P15104	GLUL	Glutamine synthetase OS=Homo sapiens OX=9606 GN=GLUL PE=1 SV=4			19.07947731	18.60183334	19.67808723	20.07085991	19.2143116	19.62627029	19.65530586	21.40518951	21.00548172	21.26753998	21.12743378	21.43596268	21.92896271	21.11743927	22.56567574	20.16256332	19.07339096	19.49121284	19.29774094	18.45352936	18.37266731	21.56283951	20.88117599	21.51874542	20.87567139	20.27232742	21.50998878	21.40262032
P58546	P58546	MTPN	Myotrophin OS=Homo sapiens OX=9606 GN=MTPN PE=1 SV=2			20.05820465	19.93177414	18.55640984	18.9260025	19.36759567	18.32178688	19.95176697	20.80000114	20.99213982	20.87985229	21.20734978	21.14816284	20.99985695	21.15269852	19.80287933	20.4324379	20.20858574	20.01582527	19.99378967	20.29656219	17.59184647	21.85375214	21.00786591	21.02313995	21.0696888	21.10719109	21.28271103	20.722929
Q08AE8	Q08AE8	SPIRE1	Protein spire homolog 1 OS=Homo sapiens OX=9606 GN=SPIRE1 PE=1 SV=3			19.79833603	19.22788239	19.66357422	19.36872673	19.39504433	19.6776638	19.26515198	18.2891407	18.16091919	18.30202293	18.27482414	18.2732048	18.41328812	18.44404411	19.53020859	18.86027908	19.46787071	18.95459557	19.29552841	19.51396179	20.08987045	18.38777351	18.37197113	18.32117844	18.34885406	18.4051609	18.05882263	18.34907913
Q14766	Q14766	LTBP1	Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4			18.59288979	17.11091232	17.00765228	18.83456802	19.39376068	17.57444763	18.66991997	18.27334213	NaN	18.15056419	18.53671837	18.62864304	16.9113884	19.09684753	19.52003479	18.84002876	18.45449829	20.47462273	18.75157356	18.28394318	16.82195091	18.52443695	17.78569412	16.8902092	17.40137482	15.76897335	NaN	14.35499859
Q9NVS2-2	Q9NVS2	MRPS18A	"Isoform 2 of 39S ribosomal protein S18a, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS18A"			19.96445084	19.58953094	19.03746414	19.52752304	19.39156723	19.85194969	19.50218964	19.71658707	19.54821777	19.64069176	19.91983414	19.77026367	19.57973862	19.61746216	19.64488602	19.54239845	19.70028496	19.26355362	19.41454506	19.61827469	18.94566727	19.7098999	19.26444435	19.56472015	19.0026207	19.41539001	19.49485397	19.64213943
Q8WXG9	Q8WXG9	GPR98	G-protein coupled receptor 98 OS=Homo sapiens OX=9606 GN=GPR98 PE=1 SV=2			20.67214394	21.42811394	19.23234558	20.00005913	19.53280449	19.62262344	19.66888809	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.20082092	21.10790253	20.51060295	19.40402031	20.60228729	20.66864395	20.27217484	18.22109222	NaN	NaN	NaN	NaN	NaN	16.6637764
Q96F86	Q96F86	EDC3	Enhancer of mRNA-decapping protein 3 OS=Homo sapiens OX=9606 GN=EDC3 PE=1 SV=1			18.67549706	18.19468307	19.1280899	18.89477158	19.25257492	19.12577438	18.53141403	19.9094696	19.71160507	19.52656555	19.64912224	19.56586838	19.25725746	18.98524094	18.7446003	18.04302216	18.24945831	18.14064789	18.89808273	19.17156982	18.85774231	19.74800682	19.17094803	19.53824615	19.42615128	19.00786209	19.36628151	19.47728348
Q8N4Q1-2	Q8N4Q1	CHCHD4	Isoform 2 of Mitochondrial intermembrane space import and assembly protein 40 OS=Homo sapiens OX=9606 GN=CHCHD4			19.91934967	19.79310799	19.10735512	19.2428894	19.32487488	19.65961456	19.25176239	18.10702515	17.6908493	18.01029015	18.49345207	18.1929512	17.81076431	17.87400436	19.62106323	19.29383278	19.7473774	18.5543232	19.24805641	19.60152435	18.83954048	18.74568939	17.29745293	18.63027382	17.75860023	17.39307022	17.92408562	18.15615082
O14521	O14521	SDHD	"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHD PE=1 SV=1"			20.30589294	20.23563385	18.75608826	19.4880352	19.38875198	18.77875137	19.73478317	18.58994865	18.33607292	18.30569458	18.4978466	18.51046371	18.07077408	18.74382591	19.64922905	20.14611816	20.06411171	19.31508064	19.5967083	19.6457901	18.39849091	19.18924904	18.5565834	18.61327744	18.76616669	18.7131424	18.57235527	18.36386108
Q96MG8	Q96MG8	PCMTD1	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PCMTD1 PE=1 SV=2			19.30084991	19.40863037	19.57611275	19.16172028	19.29185295	19.46708488	19.55736542	16.84139633	17.69931793	17.4090786	17.55468178	17.52067947	17.41711807	18.19921875	19.24794388	19.06867027	19.52604294	19.20574188	19.39635468	19.29667854	19.67236519	17.91968536	18.20001602	17.95612526	17.63150024	18.24892426	18.02565193	17.77939987
Q96J84-2	Q96J84	KIRREL1	Isoform 2 of Kin of IRRE-like protein 1 OS=Homo sapiens OX=9606 GN=KIRREL1			19.55085945	19.40212631	18.84085464	19.28969002	19.32217216	18.99503708	19.56371307	19.25180054	19.52202225	19.92896652	19.57452393	19.18119049	19.51371574	19.68781281	19.32255745	19.86561203	19.57305527	20.12206078	19.03851318	19.55093575	18.8678093	19.46922684	19.25613403	19.47703743	19.42411041	19.55224991	19.49970245	19.79699707
Q15366-3	Q15366	PCBP2	Isoform 3 of Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2			18.34050751	18.41722679	18.86700439	18.76320457	19.38400078	18.01414108	18.62111473	19.88472557	19.42126274	19.6421814	19.12945557	19.09102249	18.58231163	18.97393417	18.65150452	16.96646881	18.09848595	18.27866745	18.38483429	18.92721939	18.48830032	NaN	18.75005341	19.08018112	19.68330002	18.93481064	19.23298073	19.07638741
Q9H9T3	Q9H9T3	ELP3	Elongator complex protein 3 OS=Homo sapiens OX=9606 GN=ELP3 PE=1 SV=2			20.06104851	19.60626793	19.9246521	19.76288605	19.22972488	19.79471779	19.82225037	19.99715233	20.19775009	20.35221672	20.69675255	19.81939888	19.98065186	20.13909149	19.61574554	19.12557983	19.88304901	18.9757576	19.72967911	19.7569046	19.40653801	19.97817421	20.31064987	19.96829987	20.26991081	19.67817307	20.09523773	20.28355408
O14524	O14524	NEMP1	Nuclear envelope integral membrane protein 1 OS=Homo sapiens OX=9606 GN=NEMP1 PE=1 SV=2			19.03760338	19.79403114	19.1003418	19.49465942	19.33545494	19.33893204	19.1380291	18.15992737	18.22426605	17.17659569	18.46549606	16.90171242	17.95928955	17.07359314	19.28192902	18.61883736	19.23897362	18.51662636	19.58506203	19.54131317	19.13882065	18.27835846	16.93558121	17.42367554	17.61907578	17.69210243	17.21444511	17.44683838
O15213	O15213	WDR46	WD repeat-containing protein 46 OS=Homo sapiens OX=9606 GN=WDR46 PE=1 SV=3			18.99402618	19.22072983	19.42206192	19.5712471	19.37854195	19.27540779	19.37952232	19.33355713	19.4366436	19.68523216	19.85729599	19.77389908	19.06212044	19.01179314	19.39770317	19.08146667	19.31055641	19.0912323	19.52723503	19.33764267	18.91391754	18.92823792	18.78735352	19.29364777	19.77868271	19.24047661	19.45511055	19.47606277
O43759	O43759	SYNGR1	Synaptogyrin-1 OS=Homo sapiens OX=9606 GN=SYNGR1 PE=1 SV=2			18.58315468	19.85997581	18.98160744	19.48045921	19.37561226	19.08110809	18.9461937	16.55404091	18.08815575	16.5119648	NaN	16.5596981	NaN	16.03058243	19.54221725	20.22854996	19.66742516	19.54432678	19.41269684	19.01042557	18.96095657	17.6016407	18.31432152	16.85534286	NaN	15.62470245	14.37627983	17.14442062
O43155	O43155	FLRT2	Leucine-rich repeat transmembrane protein FLRT2 OS=Homo sapiens OX=9606 GN=FLRT2 PE=1 SV=1			19.04702568	19.79576302	18.55140114	19.95294762	19.34314728	19.46948242	18.98153305	19.55327606	19.77163887	19.49025154	20.05072403	20.58249664	20.40167809	19.89958191	20.39260864	20.52472687	20.90909386	21.2891922	19.80524445	20.5055809	19.26713562	20.20602798	20.38588715	21.00266266	20.23477173	19.90535927	20.61088181	20.37504959
Q8N9F7	Q8N9F7	GDPD1	Lysophospholipase D GDPD1 OS=Homo sapiens OX=9606 GN=GDPD1 PE=1 SV=2			19.00642967	18.80357742	19.56060791	19.39655113	19.41396332	19.53255844	18.85153961	16.84072304	16.4471302	17.08367729	17.09503174	17.31489182	16.97313309	17.39341927	19.47086334	18.30282021	19.13880348	18.79335785	18.97516823	19.4517746	19.81834793	17.31113052	17.04512787	16.89803696	17.7246151	17.2065239	17.25619125	17.2311039
Q9NX20	Q9NX20	MRPL16	"39S ribosomal protein L16, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL16 PE=1 SV=1"			19.74676704	19.61671829	19.13709641	19.49947929	19.30155754	19.61964035	19.4618969	19.65211487	19.64990425	19.49940681	19.75782013	19.69412231	19.66121101	19.68143463	19.74571609	19.4057312	19.70391655	19.18893814	19.56842422	19.58141136	19.18721771	19.64923859	19.48384094	19.67338181	19.30641937	19.57808304	19.48692894	19.47333527
O96007	O96007	MOCS2	Molybdopterin synthase catalytic subunit OS=Homo sapiens OX=9606 GN=MOCS2 PE=1 SV=1			18.87971878	18.88579559	19.13778496	19.4921875	19.41565895	19.1622715	19.1228199	19.03516769	19.03563309	18.90188217	18.84404182	19.19303894	18.7155571	18.92578506	18.85914993	17.92811203	18.69784164	17.81492805	18.98076248	18.53102875	19.25402451	18.26040268	18.34005356	18.70441055	19.13783073	18.52093124	18.64133453	18.6540966
O95260-2	O95260	ATE1	Isoform ATE1-2 of Arginyl-tRNA--protein transferase 1 OS=Homo sapiens OX=9606 GN=ATE1			19.70376015	19.99918747	19.49597549	19.54298782	19.36928749	19.97632408	19.62521553	19.26818275	19.58182144	18.93795013	18.78183746	19.00867081	19.66162682	19.5316925	19.53504753	19.60234642	19.18898582	19.85260773	19.91756439	19.71823311	19.88476563	18.84588814	19.47001648	18.97344589	19.18597794	19.44599152	19.28824043	19.29800224
O43598	O43598	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1			20.44518661	19.71435547	19.60714722	19.93429947	19.27372169	19.02057648	19.84084511	20.3829937	20.02951241	20.44837761	20.27220535	19.81745529	20.00668716	20.65436363	20.49777985	21.03540421	20.84810448	20.83990288	20.60784531	20.31192398	19.25207901	20.08559799	20.64688492	20.53881836	20.49116516	20.35457039	19.95750237	20.43174362
Q96RL7	Q96RL7	VPS13A	Vacuolar protein sorting-associated protein 13A OS=Homo sapiens OX=9606 GN=VPS13A PE=1 SV=2			19.49588203	19.41868401	19.58374977	19.63721085	19.28259277	19.64881134	19.36863899	18.37313461	18.85264969	18.78766632	18.59637451	18.53217888	19.04175949	19.20687485	19.5836525	19.13948631	19.52507591	19.32113838	19.39948654	19.58533859	19.4653511	18.64557076	18.8578186	18.68818665	19.1981163	18.75190163	18.89922905	18.8350544
Q9Y2W2	Q9Y2W2	WBP11	WW domain-binding protein 11 OS=Homo sapiens OX=9606 GN=WBP11 PE=1 SV=1			19.01504707	18.05332565	19.4532795	18.12823486	19.52269936	19.8030014	17.81360435	19.0874958	19.50414658	18.93338394	19.98118591	18.27704239	19.79726982	18.42703247	18.37783813	15.94399261	14.80996704	17.70772171	16.91769409	17.76192474	20.47025681	19.37242317	18.90677643	18.6157074	18.11441803	18.59942245	18.19926834	18.44347
Q7KYR7-1	Q7KYR7	BTN2A1	Isoform 2 of Butyrophilin subfamily 2 member A1 OS=Homo sapiens OX=9606 GN=BTN2A1			19.64257431	19.10308075	19.63038826	19.421381	19.36612892	19.84741592	19.31765366	18.44186783	18.79005432	18.63158417	18.64163399	18.68086624	18.62271881	18.35254097	19.11077309	17.96411896	19.15504646	18.8197403	19.20523071	19.3153801	19.98845482	18.39788437	18.50056839	18.95682526	18.79397011	18.33351135	18.55273438	18.62763596
Q9NXN4	Q9NXN4	GDAP2	Ganglioside-induced differentiation-associated protein 2 OS=Homo sapiens OX=9606 GN=GDAP2 PE=1 SV=1			19.27715874	19.28297043	19.0446167	19.03624153	19.35256195	19.36219788	19.03492928	16.72826767	16.29142761	16.33760643	16.37006569	16.92502594	16.64822197	17.14411545	19.42498398	19.16523552	19.07605362	19.6126461	18.91952705	19.22905731	18.90124512	15.03035927	16.5815506	16.40485764	16.23132515	15.87258244	15.59737968	16.49578857
O14810	O14810	CPLX1	Complexin-1 OS=Homo sapiens OX=9606 GN=CPLX1 PE=1 SV=1			19.28335571	18.95272446	18.59853172	18.19594002	19.42753983	19.22558975	18.07280731	15.14079475	16.37831688	16.21739006	14.84895039	15.71513271	NaN	16.12349701	18.56900597	16.31778717	18.17752075	14.54011917	18.64229393	19.65382004	20.01520348	16.30980682	16.64347649	16.14805222	15.97171211	15.72738647	14.68387794	15.33435345
Q9NXW2	Q9NXW2	DNAJB12	DnaJ homolog subfamily B member 12 OS=Homo sapiens OX=9606 GN=DNAJB12 PE=1 SV=4			18.8378582	18.84695053	19.04624367	19.09567833	19.35840607	19.15365982	18.87176514	20.29070663	20.26729012	20.19315338	20.34480286	20.27472687	20.13066101	19.72550583	19.11020851	18.68445969	19.00530815	18.30729866	18.909132	18.74636841	18.10440063	20.19779778	19.85838699	20.21854782	19.82819176	19.7054863	20.02223969	19.97104263
O60239	O60239	SH3BP5	SH3 domain-binding protein 5 OS=Homo sapiens OX=9606 GN=SH3BP5 PE=1 SV=2			17.77064705	17.58864594	17.16518402	19.4261055	19.30874634	19.48720741	17.88509178	15.36606979	14.6832428	16.63088799	18.23560715	18.69122314	18.98933983	17.25418663	19.21390915	18.57243347	19.33434868	19.20624352	19.08992004	19.12270927	19.39756012	17.51786423	17.18486023	18.09333801	17.1089592	17.94264984	18.32377434	17.84644318
O15217	O15217	GSTA4	Glutathione S-transferase A4 OS=Homo sapiens OX=9606 GN=GSTA4 PE=1 SV=1			19.55956841	18.56988144	19.85507965	19.42228127	19.35516357	19.58897591	19.04699135	16.30789185	14.71977425	16.18424225	14.24444389	16.03773499	16.41251564	16.51803207	19.07325172	18.71125412	18.84036827	18.20855904	18.91917992	18.79298973	19.57393074	15.9246006	16.29170036	15.49868488	15.68439484	15.05614662	16.38278008	15.6054163
Q9UJX3	Q9UJX3	ANAPC7	Anaphase-promoting complex subunit 7 OS=Homo sapiens OX=9606 GN=ANAPC7 PE=1 SV=4			19.07432556	19.38545609	18.95279503	19.00119972	19.20183182	19.05165863	19.0552063	19.74855423	19.65630341	19.5017128	19.68331718	19.76973152	19.57800484	19.37895775	19.10452461	18.97346497	19.24646568	19.36898232	19.4871254	19.35412216	18.66820145	19.48880386	19.13148117	19.6293602	19.06249619	19.10445595	18.93515015	19.76439667
P29972	P29972	AQP1	Aquaporin-1 OS=Homo sapiens OX=9606 GN=AQP1 PE=1 SV=3			20.51890755	21.61100006	18.25247192	NaN	19.35136032	19.37428665	19.5962162	14.93059158	NaN	15.11628819	15.01551056	NaN	14.53507423	15.07133007	18.14176941	19.57682037	18.4640522	NaN	18.97736359	19.25772858	18.76274681	NaN	15.01557636	14.45412254	15.37467003	NaN	14.8585844	14.59406662
Q9H0S4	Q9H0S4	DDX47	Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1			18.62329483	19.11219025	19.58719063	19.53676033	19.28739166	19.449543	19.15237045	19.49240112	19.79027939	19.42101479	20.18559265	19.5112381	20.04937553	18.85932541	18.89178467	18.83487129	19.18771935	18.89072418	19.69764709	19.07209778	19.18746185	19.77687836	19.35477448	19.17968369	19.39375305	18.85473061	18.79392242	19.46082115
